kepid_plnt,fpp_prob,fpp_score,fpp_spec_occrate
6422070.01,5.5e-06,520.0,0.201
6428700.01,2.3e-05,1300.0,0.2
6428700.02,1.0,5.8,0.207
5794379.01,2.6000000000000002e-05,30.0,0.213
5794379.02,0.0024,18.0,0.20199999999999999
5881688.01,1.2e-05,1300.0,0.051
6022556.01,1.6e-09,960.0,0.098
6032497.01,0.001,28.0,0.125
6061119.01,0.077,49.0,0.067
6191521.01,0.00044,3.2,0.051
6267425.01,1.0,7.0,0.003
3531558.01,5.7e-07,180.0,0.215
6276477.01,8.6e-05,520.0,0.198
6863998.01,2.5e-05,840.0,0.196
6867155.01,0.19,3.4,0.07400000000000001
6948054.01,6.3e-05,1600.0,0.20199999999999999
6948054.02,1.0,1.2,0.17800000000000002
6948054.03,0.0046,260.0,0.215
6948054.04,9.699999999999999e-06,1600.0,0.174
6435936.01,4.9e-05,43.0,0.214
6522242.01,0.0086,62.0,0.07400000000000001
6526710.01,0.63,18.0,0.053
6587280.01,2.1000000000000002e-06,600.0,0.21100000000000002
6587280.02,0.13,4.2,0.16699999999999998
9471974.01,1.4999999999999999e-05,60.0,0.057999999999999996
9471974.02,0.0046,1.1,0.053
6599919.01,0.29,200.0,0.071
6675056.01,0.94,1.4,0.07200000000000001
6685526.01,4.4e-05,7300.0,0.13
6756669.01,0.0008,1200.0,0.052000000000000005
6784235.01,0.0001,2800.0,0.19399999999999998
6849310.01,3.1e-06,3500.0,0.19899999999999998
6849310.02,6.3e-05,160.0,0.203
6849310.03,0.0024,1000.0,0.19699999999999998
6862328.01,0.00018,23.0,0.055
6862603.01,1.0,12.0,0.095
7366258.01,0.21,2.6,0.08199999999999999
7366258.02,0.17,7.2,0.05
7366258.03,0.00022999999999999998,2200.0,0.207
7366258.04,1e-05,4900.0,0.17800000000000002
7373451.01,9.499999999999999e-05,460.0,0.162
7373451.02,0.00064,9.8,0.078
6949607.01,1.3000000000000001e-05,5300.0,0.213
6949607.02,0.00011,740.0,0.212
7031517.01,0.99,1800.0,0.004
11869052.01,1.0,120.0,0.001
7109675.01,0.93,4.5,0.06
7109675.02,7.7e-05,1200.0,0.21899999999999997
7118364.01,6.6e-05,2500.0,0.203
7134976.01,7.4e-05,3800.0,0.205
7134976.02,0.0031,270.0,0.172
7135852.01,0.0015,120.0,0.131
7287995.01,0.0069,22.0,0.21
7287995.02,0.68,0.46,0.215
7287995.03,0.071,69.0,0.121
3247396.01,1.0,4.1,0.001
7303253.01,0.0018,49.0,0.14800000000000002
5094751.01,4e-05,2000.0,0.214
5094751.02,0.013000000000000001,0.23,0.207
7678434.01,6.8e-06,1200.0,0.196
7678434.02,0.091,78.0,0.138
7685981.01,0.0025,5.1,0.21100000000000002
7708215.01,1.0,3.5,0.055
7377033.01,0.95,2000.0,0.036000000000000004
7380537.01,2.4e-05,4600.0,0.067
7434875.01,0.00095,820.0,0.09300000000000001
7434875.02,1.0,0.28,0.071
7434875.03,0.00014,2200.0,0.165
8349582.01,8e-07,28.0,0.18899999999999997
7455287.01,1.0,1.1,0.21600000000000003
7455287.02,0.0017,0.84,0.124
7455287.03,0.013999999999999999,98.0,0.129
