kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,tce_period,tce_prad,tce_model_snr
11153539.01,CONFIRMED,0.0,1.9380000000000002,13.4,5.497000000000001,0.281,0.1013,26.5,1.268,4.4988,2.333,28.18
11242721.01,FALSE POSITIVE,0.0,7.849,289.8,44.11,0.518,0.006769,509.5,2.3040000000000003,19.6512,12.51,496.1
9579641.01,CONFIRMED,0.9553676113033189,2.784,94.55,7.78,0.0,0.015430000000000001,163.5,1.375,5.41219,3.1239999999999997,160.3
9579641.02,CONFIRMED,0.9559684085188407,3.5260000000000002,24.94,1.844,0.009000000000000001,0.060329999999999995,39.79,2.201,7.12595,1.7530000000000001,43.81
11304958.01,CONFIRMED,0.0,3.701,65.61,16.95,0.043,0.03302,124.5,2.289,41.4396,5.535,126.3
11391957.01,CONFIRMED,0.0,3.3360000000000003,20.99,1.5930000000000002,0.645,0.06824,36.35,2.234,8.35388,2.888,39.92
11403044.01,CONFIRMED,0.0,2.582,66.81,13.03,0.431,0.026560000000000004,94.71,1.042,4.12552,4.735,110.8
11414511.01,CONFIRMED,0.0,3.179,759.3,199.0,0.0,0.002462,1328.0,-9.861,2.81651,12.48,1287.0
11442465.01,FALSE POSITIVE,0.0,17.33,75.55,53.44,0.0,0.029210000000000003,193.4,6.697,33.9337,7.135,184.7
12110942.01,CONFIRMED,0.0,2.06,23.03,7.471,0.255,0.06371,31.79,1.4169999999999998,3.68992,2.364,35.04
12366084.01,CONFIRMED,0.954313515420592,3.034,39.11,10.35,0.016,0.03995,58.26,1.861,4.43122,3.495,64.5
12366084.02,CONFIRMED,0.9567573440452815,2.9410000000000003,16.6,4.787,0.37200000000000005,0.09529,29.93,2.4290000000000003,11.3794,3.858,33.49
12404086.01,CONFIRMED,0.0,2.15,25.48,7.979,0.5920000000000001,0.06792000000000001,41.27,1.671,26.3944,3.1830000000000003,45.06
8395660.01,CONFIRMED,0.9534625892456026,2.824,45.45,8.142000000000001,0.044000000000000004,0.0461,76.77,2.475,13.5708,2.7260000000000004,78.81
