rowid,kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
1,5596440,K00648.01,10.475,147.58,1,86,0.001,1035,0.5,0.17,0.69,0.014,0.034,0.085,0.0048,0.867,6473,102.97,-154.88,1.56,0.776,-0.275,1.34,0.243,-0.126,9.32,0.11,-0.128,889,428.59,-159.97,0.23,0.051,-0.104
2,5613330,K00649.01,23.45,2.39,0.0000014,27,0.203,32,0.81,1.2E-09,5.1E-09,0.0000013,1.8E-11,4.3E-12,9.9E-09,0.016,6174,72.86,-82.02,1.5,0.195,-0.147,1.33,0.063,-0.05,9.36,0.081,-0.132,822,103.67,-80.92,0.22,0.051,-0.067
3,5786676,K00650.01,11.955,2.26,0.0017,30,0.07,56,0.5,0.0012,0.000000065,0.00045,3.1E-11,0.000036,0.000001,0.027,5092,36.59,-39.2,1.74,0.103,-0.079,0.97,0.035,-0.021,10.13,0.03,-0.06,717,43.19,-32.08,0.2,0.027,-0.037
4,5796186,K00651.01,42.559,6.5,0.025,18,0.052,199,0.5,0.0012,0.0072,0.0045,0.0013,0.011,0.00018,0.053,6047,193.49,-190.65,1.13,0.305,-0.145,1.08,0.125,-0.079,9.5,0.218,-0.268,775,209.31,-105.75,0.23,0.131,-0.145
5,5796675,K00652.01,16.081,4.3,0.00019,360,0.092,77,0.5,0.000016,0.000083,0.000091,7.4E-14,2.6E-17,7.5E-09,0.051,5205,57.81,-74.59,0.8,0.022,-0.023,0.85,0.032,-0.04,9.7,0.212,-0.321,341,10.76,-11.53,0.35,0.055,-0.087
6,5893123,K00653.01,1.126,1.87,0.56,49,0.219,55,0.5,0.0021,0.0011,0.098,0.015,0.086,0.36,0.011,6537,284.24,-306.49,1.58,0.659,-0.343,1.35,0.235,-0.191,9.3,0.181,-0.139,1150,477.26,-257.88,0.38,0.179,-0.195
7,5941160,K00654.01,8.595,2.53,0.073,2.6,0.219,58,0.5,0.00000025,0.019,0.021,0.00098,0.025,0.0057,0.021,5776,82.54,-69.19,0.96,0.064,-0.053,0.98,0.042,-0.045,9.54,0.242,-0.298,659,45.29,-39,0.08,0.074,-0.053
8,5941160,K00654.02,10.222,1.75,0.069,190,0.144,92,0.84,0.0036,0.025,0.015,0.0075,0.011,0.0057,0.014,5776,82.54,-69.19,0.96,0.064,-0.053,0.98,0.042,-0.045,9.54,0.242,-0.298,659,45.29,-39,0.08,0.074,-0.053
9,5966154,K00655.01,25.672,2.76,0.00000066,89,0.204,34,0.57,3.7E-10,0.000000013,0.00000061,1.5E-10,0.00000002,0.000000012,0.02,6148,68.96,-56.25,1.21,0.084,-0.062,1.18,0.036,-0.034,9.35,0.164,-0.183,613,42.92,-33.58,0.03,0.04,-0.022
10,5966154,K00655.02,151.886,2.34,0.000049,4.1,0.217,58,1.08,0.0000022,0.000026,0.000022,3.8E-12,0.000000029,5.1E-09,0.017,6148,68.96,-56.25,1.21,0.084,-0.062,1.18,0.036,-0.034,9.35,0.164,-0.183,613,42.92,-33.58,0.03,0.04,-0.022
11,5966660,K00656.01,1.907,5.08,1,1.1,0.054,60,0.5,0.0019,0.026,0.26,0.039,0.67,0.00023,0.027,6673,235.34,-193.52,1.71,0.613,-0.32,1.43,0.198,-0.161,9.24,0.117,-0.108,1163,404.24,-227.37,0.18,0.144,-0.119
12,6020753,K00657.01,4.069,1.94,0.000035,5200,0.193,87,0.5,1.8E-09,0.00000015,0.000034,0.00000029,0.00000061,0.000000033,0.024,4788,58.99,-41.6,0.73,0.013,-0.017,0.78,0.023,-0.028,9.51,0.274,-0.274,302,7.03,-8.11,0.07,0.085,-0.05
13,6020753,K00657.02,16.282,2.1,0.0029,32,0.206,89,0.51,1.6E-10,0.00019,0.0023,0.0000031,0.00038,0.000071,0.026,4788,58.99,-41.6,0.73,0.013,-0.017,0.78,0.023,-0.028,9.51,0.274,-0.274,302,7.03,-8.11,0.07,0.085,-0.05
14,6062088,K00658.01,3.163,2.34,0.000012,750,0.207,30,0.5,0.00000084,2.8E-09,0.0000054,0.000006,8.9E-09,0.000000018,0.022,5794,101.87,-91.42,1.03,0.115,-0.084,1,0.045,-0.043,9.75,0.15,-0.339,697,79.86,-57.47,0.15,0.087,-0.082
15,6062088,K00658.02,5.371,2.24,0.00003,2300,0.212,38,0.5,0.000000092,6.3E-09,0.000027,0.0000021,0.000000054,0.00000032,0.021,5794,101.87,-91.42,1.03,0.115,-0.084,1,0.045,-0.043,9.75,0.15,-0.339,697,79.86,-57.47,0.15,0.087,-0.082
16,6062088,K00658.03,11.33,1.29,0.0047,180,0.137,52,2.4,7.2E-12,0.0000046,0.0041,0.0000074,0.0000041,0.00054,0.012,5794,101.87,-91.42,1.03,0.115,-0.084,1,0.045,-0.043,9.75,0.15,-0.339,697,79.86,-57.47,0.15,0.087,-0.082
17,6125481,K00659.01,23.206,2.99,0.000013,1.6,0.08,49,0.66,2.3E-11,0.00000002,0.000012,1.4E-29,1.2E-31,0.00000047,0.017,6094,48.07,-45.51,2.55,0.268,-0.291,1.63,0.074,-0.093,9.34,0.062,-0.053,1564,167.54,-177.06,0.01,0.019,-0.008
18,6267535,K00660.01,6.08,1.61,1.6E-12,4.4,0.185,19,0.5,2.4E-23,3.8E-42,1.4E-12,1.5E-13,3.4E-16,2.6E-26,0.018,5376,53.17,-62.19,0.91,0.089,-0.072,0.88,0.032,-0.033,10.02,0.116,-0.449,414,42.04,-32.75,0.19,0.034,-0.067
19,6347299,K00661.01,14.401,2.25,0.000068,180,0.21,54,0.57,0.000016,0.00000094,0.0000056,0.00000012,0.000045,0.000000074,0.02,5868,72.22,-64.68,1.11,0.189,-0.118,1.03,0.04,-0.042,9.75,0.114,-0.289,765,131.32,-80.67,0.06,0.063,-0.042
20,6347299,K00661.02,25.662,1.35,0.0035,38,0.148,74,1.26,0.0000048,0.000039,0.0013,0.00028,0.0012,0.00076,0.012,5868,72.22,-64.68,1.11,0.189,-0.118,1.03,0.04,-0.042,9.75,0.114,-0.289,765,131.32,-80.67,0.06,0.063,-0.042
21,6365156,K00662.01,10.214,2.13,0.00012,170,0.211,20,0.5,0.000063,0.000039,0.000019,0.000000051,3.1E-10,3.8E-10,0.017,5899,76.38,-63.02,1.3,0.246,-0.184,1.14,0.088,-0.055,9.64,0.123,-0.21,687,129.31,-98.53,0.09,0.071,-0.056
22,6425957,K00663.01,2.756,1.24,0.0000039,8500,0.136,29,0.5,6.2E-10,4.8E-10,0.0000022,0.000000068,0.0000017,1.6E-09,0.022,4256,48.67,-49.9,0.58,0.029,-0.028,0.6,0.037,-0.036,9.52,0.383,-0.325,150,9.5,-10.36,0.04,0.057,-0.029
23,6425957,K00663.02,20.307,1.41,0.000067,220,0.151,65,0.5,0.000000001,0.000000015,0.000066,0.00000045,0.000000052,0.00000013,0.025,4256,48.67,-49.9,0.58,0.029,-0.028,0.6,0.037,-0.036,9.52,0.383,-0.325,150,9.5,-10.36,0.04,0.057,-0.029
24,6442340,K00664.01,13.137,1.63,0.000071,97,0.168,28,0.81,0.00000017,0.0000095,0.000022,0.00000029,0.000038,0.0000013,0.014,5856,87.44,-84.42,1.12,0.166,-0.11,1.05,0.044,-0.04,9.72,0.139,-0.31,615,92.23,-60.56,0.13,0.075,-0.075
25,6442340,K00664.02,7.782,1.15,0.00051,84,0.114,22,1.08,0.000047,0.000037,0.00021,0.0000053,0.00013,0.000084,0.01,5856,87.44,-84.42,1.12,0.166,-0.11,1.05,0.044,-0.04,9.72,0.139,-0.31,615,92.23,-60.56,0.13,0.075,-0.075
26,6442340,K00664.03,23.443,0.93,0.00041,11,0.096,38,2.31,0.000000033,0.000000059,0.0003,0.0000021,0.000029,0.000084,0.008,5856,87.44,-84.42,1.12,0.166,-0.11,1.05,0.044,-0.04,9.72,0.139,-0.31,615,92.23,-60.56,0.13,0.075,-0.075
27,6685609,K00665.01,5.868,2.59,0.000014,1100,0.174,26,0.54,0.000014,1.7E-12,0.00000008,0.00000013,8.7E-11,6.2E-10,0.019,5986,90.78,-75.12,1.49,0.305,-0.236,1.19,0.126,-0.074,9.63,0.11,-0.107,760,157.56,-118.66,0.09,0.077,-0.059
28,6685609,K00665.02,1.612,1.21,0.0000012,3100,0.148,8,0.72,4.2E-09,2E-10,5.1E-12,0.0000005,0.0000006,0.000000046,0.009,5986,90.78,-75.12,1.49,0.305,-0.236,1.19,0.126,-0.074,9.63,0.11,-0.107,760,157.56,-118.66,0.09,0.077,-0.059
29,6685609,K00665.03,3.072,1.23,0.00000005,20,0.144,19,1.02,5.7E-09,1.7E-10,1.8E-11,0.00000003,0.000000014,1.8E-11,0.009,5986,90.78,-75.12,1.49,0.305,-0.236,1.19,0.126,-0.074,9.63,0.11,-0.107,760,157.56,-118.66,0.09,0.077,-0.059
30,6707835,K00666.01,22.248,2.71,0.000012,350,0.207,49,0.5,9.1E-10,0.00000095,0.00001,0.000000074,0.0000002,0.00000021,0.025,5653,72.74,-63.07,0.94,0.029,-0.026,1.01,0.03,-0.028,9.32,0.225,-0.192,538,18.83,-16.94,0.1,0.07,-0.064
31,6752502,K00667.01,4.305,,,,,307,0.5,,,,,,,0.101,,,,,,,,,,,,,,,,,,
32,6805146,K00668.01,13.78,29.21,0.95,32,0.001,499,0.5,0.084,0.86,0.000025,6.3E-19,7.5E-09,1.2E-16,0.149,6779,268.87,-301.82,1.81,0.643,-0.378,1.49,0.228,-0.194,9.2,0.147,-0.097,1030,358.64,-221.73,0.47,0.159,-0.19
33,6960445,K00669.01,5.074,40.07,1,2.3,0.001,44,0.5,0.018,0.94,0.0069,0.0011,0.024,0.0055,0.349,5864,110.31,-171.74,1.04,0.193,-0.105,1.04,0.069,-0.072,9.58,0.221,-0.35,615,115.58,-66.12,0.37,0.079,-0.144
34,7033671,K00670.01,9.49,1.88,0.000047,900,0.197,35,0.6,0.00000054,0.0000065,0.000035,0.0000021,0.0000029,0.00000039,0.015,5713,80.6,-84.13,1.14,0.188,-0.146,1.02,0.045,-0.042,9.86,0.12,-0.28,680,111.59,-87.39,0.16,0.073,-0.077
35,7040629,K00671.01,4.229,1.58,0.0000015,2000,0.185,19,0.57,2.5E-11,7.3E-12,0.00000042,0.00000063,0.00000039,0.000000021,0.012,5949,61.11,-62.66,1.4,0.298,-0.232,1.17,0.102,-0.064,9.64,0.098,-0.121,858,180.96,-141.29,0.3,0.031,-0.05
36,7040629,K00671.02,7.467,1.3,0.0049,180,0.158,26,2.22,0.0000043,0.00022,0.003,0.000097,0.00028,0.0014,0.01,5949,61.11,-62.66,1.4,0.298,-0.232,1.17,0.102,-0.064,9.64,0.098,-0.121,858,180.96,-141.29,0.3,0.031,-0.05
37,7040629,K00671.03,16.259,1.44,0.0019,130,0.163,44,3.3,0.000053,0.00000015,0.0016,0.000058,0.0000054,0.00014,0.011,5949,61.11,-62.66,1.4,0.298,-0.232,1.17,0.102,-0.064,9.64,0.098,-0.121,858,180.96,-141.29,0.3,0.031,-0.05
38,7040629,K00671.04,11.132,1.17,0.0052,47,0.136,36,1.56,0.0000022,0.00000029,0.0039,0.000059,0.00039,0.00078,0.009,5949,61.11,-62.66,1.4,0.298,-0.232,1.17,0.102,-0.064,9.64,0.098,-0.121,858,180.96,-141.29,0.3,0.031,-0.05
39,7115785,K00672.01,16.088,2.46,0.000057,760,0.216,68,0.5,0.000000004,0.000027,0.000028,0.000000051,0.0000016,0.000000082,0.023,5562,82.74,-68.87,0.91,0.053,-0.041,0.95,0.033,-0.039,9.65,0.243,-0.365,584,33.8,-28.58,0.09,0.08,-0.062
40,7115785,K00672.02,41.749,3.2,0.014,13,0.193,79,0.5,0.0011,0.012,0.00088,0.000084,0.000026,0.000017,0.03,5562,82.74,-68.87,0.91,0.053,-0.041,0.95,0.033,-0.039,9.65,0.243,-0.365,584,33.8,-28.58,0.09,0.08,-0.062
41,7115785,K00672.03,0.567,1.27,1,0.034,0.112,14,1.26,4.2E-12,0.011,0.86,0.000028,0.13,0.00018,0.012,5562,82.74,-68.87,0.91,0.053,-0.041,0.95,0.033,-0.039,9.65,0.243,-0.365,584,33.8,-28.58,0.09,0.08,-0.062
42,7124613,K00673.01,4.417,2.86,0.0000013,880,0.176,23,0.5,1.2E-10,0.00000076,2.8E-09,0.00000046,3.1E-11,0.00000012,0.016,6569,135.78,-191.99,1.62,0.689,-0.282,1.38,0.22,-0.143,9.29,0.122,-0.122,995,416.12,-176.35,0.25,0.077,-0.127
43,7277317,K00674.01,16.339,10.18,0.0012,3.6,0.068,48,0.5,1.7E-10,0.0012,4.4E-11,1.2E-32,0.00000034,1.6E-11,0.037,4906,42.46,-45.53,2.51,0.089,-0.061,1,0.065,-0.043,10.09,0.059,-0.1,1026,37.67,-26.16,0.22,0.054,-0.066
44,7385509,K00675.01,1.655,2.53,1,7.2,0.2,398,11.1,0.0000068,0.000077,1,5.4E-23,1.8E-23,0.000012,0.036,5089,47.27,-76.75,5.86,0.688,-5.195,1.11,0.059,-0.41,9.78,0.095,-0.083,2059,243.68,-1830.45,0.48,0.109,-0.034
45,7447200,K00676.01,7.973,3.82,0.0008,82,0.096,76,0.5,4.1E-11,3.8E-10,0.0008,1.1E-12,1.6E-10,1.5E-09,0.056,4583,59.09,-61.3,0.7,0.013,-0.012,0.77,0.019,-0.019,9.25,0.193,-0.141,242,5.76,-5.76,0.18,0.092,-0.102
46,7447200,K00676.02,2.453,2.59,0.12,2.7,0.195,36,0.5,0.00000036,0.00033,0.11,0.000056,0.0029,2.6E-09,0.038,4583,59.09,-61.3,0.7,0.013,-0.012,0.77,0.019,-0.019,9.25,0.193,-0.141,242,5.76,-5.76,0.18,0.092,-0.102
47,8355239,K00574.01,20.135,2.95,0.000012,270,0.193,117,0.5,0.0000015,0.0000037,0.0000065,0.00000046,5.2E-13,8.6E-09,0.034,5171,65.67,-78.1,0.8,0.046,-0.044,0.83,0.038,-0.043,9.69,0.359,-0.417,618,37.52,-36.38,0.14,0.066,-0.087
48,8355239,K00574.02,10.4,1.39,0.00006,150,0.135,81,0.78,7.2E-11,0.0000033,0.00005,0.0000013,0.00000034,0.000005,0.016,5171,65.67,-78.1,0.8,0.046,-0.044,0.83,0.038,-0.043,9.69,0.359,-0.417,618,37.52,-36.38,0.14,0.066,-0.087
49,8367113,K00575.01,24.316,3.3,0.000055,210,0.127,97,0.5,0.00000037,0.000013,0.000017,0.000014,0.0000098,0.00000057,0.025,6151,193.99,-218.18,1.22,0.485,-0.196,1.14,0.167,-0.107,9.46,0.19,-0.226,1212,473.29,-211.09,0.31,0.129,-0.161
50,8474898,K00576.01,199.442,39.89,0.99,6.3,0.001,355,3.3,0.017,0.26,0.46,0.059,0.14,0.048,0.421,5541,51.91,-57.98,0.98,0.14,-0.103,0.92,0.034,-0.032,9.99,0.108,-0.405,788,112.59,-81.85,0.13,0.033,-0.056
51,8558011,K00577.01,39.677,2.69,0.074,0.59,0.204,153,0.51,0.0005,0.00073,0.055,0.0011,0.0034,0.013,0.031,5183,102.97,-110.44,0.8,0.049,-0.045,0.84,0.043,-0.048,9.69,0.35,-0.423,498,33.26,-30.65,0.21,0.112,-0.133
52,8558011,K00577.02,0.638,0.87,0.001,7400,0.07,27,1.41,0.000029,0.0000013,0.00049,0.00000083,0.0000024,0.0005,0.01,5183,102.97,-110.44,0.8,0.049,-0.045,0.84,0.043,-0.048,9.69,0.35,-0.423,498,33.26,-30.65,0.21,0.112,-0.133
53,8565266,K00578.01,6.413,3.65,0.000000014,92,0.103,76,0.5,1.9E-12,1.6E-45,0.000000014,9.6E-20,1.8E-13,4.4E-19,0.033,5828,210.53,-193.83,1.01,0.222,-0.116,1,0.092,-0.074,9.59,0.265,-0.35,930,205.82,-116.95,0.25,0.157,-0.162
54,8616637,K00579.01,2.02,1.5,0.000084,5000,0.139,25,0.5,0.000029,0.0000028,0.000036,0.0000023,0.000014,0.0000001,0.017,5171,66.89,-57.65,0.8,0.019,-0.02,0.86,0.027,-0.033,9.59,0.231,-0.295,455,13.02,-13.44,0.09,0.08,-0.061
55,8616637,K00579.02,3.763,1.5,0.00061,860,0.143,52,0.5,0.000028,0.00014,0.000019,0.00026,0.00015,0.0000043,0.017,5171,66.89,-57.65,0.8,0.019,-0.02,0.86,0.027,-0.033,9.59,0.231,-0.295,455,13.02,-13.44,0.09,0.08,-0.061
56,8625925,K00580.01,6.521,3.3,0.00025,1600,0.146,55,0.5,0.0000006,0.00022,0.000013,0.0000037,0.0000071,3.9E-09,0.027,5980,118.81,-172.8,1.11,0.276,-0.122,1.08,0.089,-0.076,9.54,0.183,-0.302,1112,277.71,-134.59,0.33,0.074,-0.139
57,8822216,K00581.01,6.997,4.12,0.0000074,830,0.086,62,0.5,0.000000027,0.0000013,0.0000056,0.00000033,0.00000015,4.1E-09,0.034,5942,94.78,-141.56,1.12,0.305,-0.125,1.09,0.094,-0.07,9.55,0.184,-0.322,1109,293.57,-131.45,0.29,0.062,-0.108
58,8822216,K00581.02,151.864,3.29,0.0059,1,0.141,264,1.02,0.0000068,0.0011,0.00068,0.00039,0.0032,0.00057,0.027,5942,94.78,-141.56,1.12,0.305,-0.125,1.09,0.094,-0.07,9.55,0.184,-0.322,1109,293.57,-131.45,0.29,0.062,-0.108
59,9020160,K00582.01,5.945,2.28,0.00001,1500,0.213,79,0.51,0.00000063,7.1E-09,0.0000099,0.000000016,4.4E-09,5.6E-09,0.026,5226,98.25,-98.85,0.8,0.054,-0.046,0.84,0.041,-0.048,9.67,0.359,-0.42,625,45.13,-38.6,0.16,0.103,-0.11
60,9020160,K00582.02,17.739,2.19,0.000027,640,0.218,128,0.54,8.2E-09,0.000000023,0.00002,0.0000029,0.0000032,0.0000013,0.025,5226,98.25,-98.85,0.8,0.054,-0.046,0.84,0.041,-0.048,9.67,0.359,-0.42,625,45.13,-38.6,0.16,0.103,-0.11
61,9020160,K00582.03,9.94,1.4,0.00015,450,0.132,97,0.84,9.8E-12,4.2E-10,0.00014,0.00000088,0.0000011,0.000016,0.016,5226,98.25,-98.85,0.8,0.054,-0.046,0.84,0.041,-0.048,9.67,0.359,-0.42,625,45.13,-38.6,0.16,0.103,-0.11
62,9076513,K00583.01,2.437,1.67,0.00001,67,0.172,25,0.54,0.000001,0.00000035,0.0000023,0.00000058,0.0000053,0.00000097,0.015,5760,70.78,-70.6,0.99,0.161,-0.073,1.01,0.048,-0.05,9.6,0.256,-0.379,891,146.59,-68.95,0.08,0.038,-0.051
63,9146018,K00584.01,9.927,2.4,0.000094,930,0.207,45,0.5,0.000000016,0.000082,0.000013,5E-10,0.000000007,0.000000018,0.025,5491,65.19,-64.74,0.94,0.076,-0.055,0.94,0.035,-0.034,9.84,0.193,-0.395,618,49.37,-37.51,0.1,0.065,-0.061
64,9146018,K00584.02,21.223,2.5,0.000041,230,0.205,69,0.5,1.3E-09,0.000012,0.0000023,2.1E-12,0.000026,0.000000064,0.026,5491,65.19,-64.74,0.94,0.076,-0.055,0.94,0.035,-0.034,9.84,0.193,-0.395,618,49.37,-37.51,0.1,0.065,-0.061
65,9146018,K00584.03,6.47,0.96,0.00013,260,0.097,49,0.93,8.9E-13,6E-10,0.000081,0.000013,0.000021,0.000018,0.01,5491,65.19,-64.74,0.94,0.076,-0.055,0.94,0.035,-0.034,9.84,0.193,-0.395,618,49.37,-37.51,0.1,0.065,-0.061
66,9279669,K00585.01,3.722,2.84,0.000052,3800,0.195,56,0.5,0.000000012,0.000018,0.000027,0.000006,0.000000061,0.000000058,0.027,5687,95.82,-134.49,0.95,0.118,-0.07,0.97,0.051,-0.052,9.61,0.285,-0.38,919,114.78,-75.24,0.23,0.071,-0.121
67,9570741,K00586.01,15.78,2.27,0.0000038,670,0.21,71,0.5,3.6E-10,0.000000009,0.0000027,2.4E-12,0.0000011,0.000000007,0.022,5724,66.85,-66.95,0.96,0.16,-0.076,0.98,0.047,-0.059,9.64,0.272,-0.39,868,146.59,-72.59,0.07,0.044,-0.047
68,9607164,K00587.01,14.035,2.4,0.008,12,0.21,85,0.5,0.000023,0.00018,0.0074,0.0000073,0.000064,0.00031,0.027,5274,187.6,-130.32,0.81,0.075,-0.049,0.85,0.052,-0.051,9.68,0.361,-0.422,571,58.01,-38.43,0.21,0.187,-0.146
69,9631762,K00588.01,10.356,1.74,0.0000094,1100,0.171,68,0.5,2.3E-13,7.3E-14,0.0000091,0.000000083,6.9E-14,0.00000015,0.023,4654,41.31,-43.75,0.69,0.026,-0.039,0.73,0.038,-0.046,9.59,0.416,-0.37,330,14.29,-20.89,0.08,0.047,-0.053
70,9782691,K00590.01,11.388,2.64,0.00014,620,0.195,74,0.6,0.0000054,0.000052,0.000067,0.0000042,0.0000065,0.0000024,0.02,6152,147.04,-179.78,1.21,0.428,-0.159,1.14,0.156,-0.089,9.47,0.164,-0.246,1197,429.07,-166.19,0.22,0.096,-0.133
71,9782691,K00590.02,50.698,3.05,0.00013,0.078,0.16,131,1.05,8.5E-09,0.000023,0.0001,5.1E-13,5.2E-13,0.00000039,0.023,6152,147.04,-179.78,1.21,0.428,-0.159,1.14,0.156,-0.089,9.47,0.164,-0.246,1197,429.07,-166.19,0.22,0.096,-0.133
72,9886221,K00591.01,2.993,0.91,0.043,51,0.091,38,0.5,0.0042,0.000021,0.0065,0.0015,0.014,0.017,0.009,5626,76.97,-85.54,0.92,0.114,-0.061,0.95,0.043,-0.052,9.62,0.322,-0.401,715,89.22,-50.82,0.11,0.058,-0.071
73,9957627,K00592.01,39.753,3,0.12,1.2,0.159,82,0.5,0.00024,0.0092,0.03,0.0028,0.079,0.0029,0.025,5994,170.25,-167.12,1.11,0.294,-0.13,1.07,0.103,-0.072,9.53,0.217,-0.288,908,241.79,-112.54,0.2,0.121,-0.13
74,9958962,K00593.01,9.998,2.43,0.000021,500,0.206,73,1.47,0.000000046,0.0000033,0.000015,0.000000029,3.1E-10,0.000002,0.023,5760,136.35,-105.05,0.97,0.14,-0.077,0.99,0.061,-0.053,9.59,0.27,-0.366,1018,151.32,-87.56,0.12,0.107,-0.086
75,9958962,K00593.02,90.411,3.38,0.00081,53,0.156,296,1.62,0.00005,0.00029,0.00046,9.4E-09,0.0000048,0.0000017,0.032,5760,136.35,-105.05,0.97,0.14,-0.077,0.99,0.061,-0.053,9.59,0.27,-0.366,1018,151.32,-87.56,0.12,0.107,-0.086
76,9958962,K00593.03,51.067,2.67,0.0053,20,0.203,185,1.89,0.00021,0.00069,0.0037,0.000036,0.00026,0.00035,0.025,5760,136.35,-105.05,0.97,0.14,-0.077,0.99,0.061,-0.053,9.59,0.27,-0.366,1018,151.32,-87.56,0.12,0.107,-0.086
77,9958962,K00593.04,240.187,3.07,0.038,4,0.184,594,3.3,0.000024,0.001,0.025,0.00014,0.0017,0.011,0.029,5760,136.35,-105.05,0.97,0.14,-0.077,0.99,0.061,-0.053,9.59,0.27,-0.366,1018,151.32,-87.56,0.12,0.107,-0.086
78,10388286,K00596.01,1.683,1.34,0.0000048,11000,0.124,52,0.5,1.6E-09,1.1E-13,0.0000039,0.00000077,0.000000057,1.8E-10,0.025,3712,33.46,-33.1,0.48,0.024,-0.026,0.51,0.024,-0.027,9.6,0.383,-0.365,150,10.08,-10.32,0.08,0.048,-0.05
79,10600261,K00597.01,17.308,2.9,0.000043,300,0.188,70,0.87,0.000008,0.000011,0.000023,0.000000015,1.6E-09,0.00000058,0.024,5968,102.96,-120.9,1.1,0.247,-0.109,1.08,0.08,-0.063,9.53,0.202,-0.309,1204,263.34,-127.84,0.16,0.07,-0.095
80,10600261,K00597.02,2.092,1.56,0.015,12,0.179,38,0.87,0.000091,0.0019,0.011,0.000057,0.00055,0.0018,0.013,5968,102.96,-120.9,1.1,0.247,-0.109,1.08,0.08,-0.063,9.53,0.202,-0.309,1204,263.34,-127.84,0.16,0.07,-0.095
81,10600261,K00597.03,52.815,2.67,0.0000018,0.6,0.198,144,0.66,0.00000028,0.00000023,0.0000013,5.4E-12,6.6E-21,1.8E-10,0.022,5968,102.96,-120.9,1.1,0.247,-0.109,1.08,0.08,-0.063,9.53,0.202,-0.309,1204,263.34,-127.84,0.16,0.07,-0.095
82,10656823,K00598.01,8.308,2.25,0.00032,910,0.216,82,2.19,4.2E-12,2.2E-12,0.00031,0.000000097,4.4E-15,0.0000058,0.026,5239,65.55,-56.71,0.8,0.053,-0.056,0.83,0.044,-0.052,9.69,0.357,-0.438,651,45.97,-48.23,0.07,0.063,-0.048
83,10656823,K00598.02,34.096,1.73,0.54,10,0.174,188,2.58,0.00000015,0.0000003,0.24,0.0048,0.049,0.24,0.02,5239,65.55,-56.71,0.8,0.053,-0.056,0.83,0.044,-0.052,9.69,0.357,-0.438,651,45.97,-48.23,0.07,0.063,-0.048
84,10676824,K00599.01,6.454,2.8,0.0072,39,0.192,63,0.5,0.00066,0.000069,0.0037,0.00026,0.0023,0.00017,0.024,5932,94.45,-148.23,1.06,0.22,-0.102,1.05,0.069,-0.065,9.56,0.208,-0.334,1082,224.04,-109.36,0.24,0.061,-0.118
85,10718726,K00600.01,3.596,2.61,0.0000074,770,0.195,49,0.6,0.00000022,0.00000043,0.0000056,0.00000024,0.00000055,0.00000037,0.022,5862,64.91,-74.7,1.1,0.376,-0.124,1.06,0.08,-0.055,9.65,0.18,-0.352,1136,387.23,-129.53,0.12,0.031,-0.057
86,10973664,K00601.01,5.404,3.16,0.000007,1800,0.161,57,0.5,0.000000011,0.00000032,0.0000033,0.0000019,0.0000013,0.00000019,0.026,5988,101.14,-114.79,1.11,0.244,-0.11,1.09,0.074,-0.065,9.54,0.188,-0.304,1107,240.3,-115.18,0.15,0.063,-0.089
87,10973664,K00601.02,11.679,4.95,0.35,220,0.06,117,0.5,0.042,0.26,0.003,0.0062,0.036,0.00021,0.041,5988,101.14,-114.79,1.11,0.244,-0.11,1.09,0.074,-0.065,9.54,0.188,-0.304,1107,240.3,-115.18,0.15,0.063,-0.089
88,10973664,K00601.03,1.208,1.71,0.000097,13000,0.194,24,0.5,0.0000068,0.00000071,0.000014,0.000015,0.00006,0.000000033,0.014,5988,101.14,-114.79,1.11,0.244,-0.11,1.09,0.074,-0.065,9.54,0.188,-0.304,1107,240.3,-115.18,0.15,0.063,-0.089
89,12459913,K00602.01,12.914,3.31,0.0001,110,0.112,70,0.57,0.00000095,0.000037,0.000028,0.0000015,0.000034,0.00000038,0.025,6153,126.32,-158.54,1.24,0.478,-0.18,1.15,0.153,-0.087,9.48,0.152,-0.232,1268,478.25,-192.61,0.18,0.08,-0.11
90,2441151,K00603.01,2.192,4.84,1,0.43,0.07,83,0.5,0.2,0.2,0.55,0.0000061,0.0022,0.04,0.052,5477,109.52,-142.26,0.86,0.089,-0.066,0.89,0.053,-0.058,9.67,0.365,-0.449,679,72.32,-56.34,0.27,0.099,-0.14
91,3970233,K00604.01,8.255,12.13,0.0025,6.5,0.077,558,0.5,0.0000012,0.00022,0.0022,7.7E-24,5.5E-31,1.3E-12,0.13,5419,181.91,-112.61,0.86,0.093,-0.059,0.89,0.054,-0.052,9.64,0.368,-0.418,515,59.18,-38.28,0.15,0.175,-0.102
