rowid,kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
4005,9898364,K01579.01,7.132,15.08,0.78,49,0.059,79,0.5,0.091,0.6,0.038,0.02,0.028,0.0046,0.069,7089,195.83,-159.46,1.97,0.486,-0.374,1.6,0.171,-0.162,9.13,0.076,-0.062,1450,357.46,-274.67,0.12,0.104,-0.082
4006,7939330,K01581.01,29.542,3.24,1,0.0011,0.179,142,0.81,0.00045,0.0000027,0.82,0.0023,0.000011,0.18,0.037,5262,56.02,-51.8,0.8,0.055,-0.057,0.84,0.043,-0.052,9.67,0.367,-0.448,894,63.29,-67.02,0.07,0.052,-0.044
4007,10905746,K01725.01,9.885,2.21,0.49,43,0.192,129,0.5,0.0033,0.02,0.071,0.045,0.33,0.023,0.051,3772,42.87,-52.96,0.55,0.02,-0.033,0.58,0.021,-0.035,9.57,0.405,-0.394,80,4.77,-7.26,0.05,0.064,-0.039
4008,8242434,K01726.01,44.964,2.07,0.00026,160,0.215,69,0.5,0.00022,0.0000087,0.000038,0.000000034,1.2E-13,0.00000066,0.026,4860,76.24,-65.94,0.75,0.015,-0.015,0.81,0.027,-0.028,9.62,0.218,-0.291,218,5.52,-5.39,0.16,0.105,-0.095
4009,6185331,K01727.01,49.77,5.93,0.00021,3.6,0.051,196,0.5,0.00002,0.00013,0.000061,2.1E-25,8.7E-29,3.8E-11,0.06,5614,116.31,-107.56,0.9,0.11,-0.067,0.93,0.055,-0.06,9.62,0.328,-0.409,1234,151.89,-101.14,0.13,0.103,-0.09
4010,11820830,K01728.01,12.732,104.96,0.99,180,0.001,415,0.5,0.1,0.88,0.00078,0.0016,0.00023,0.0000035,0.482,7121,198.44,-175.69,2,0.497,-0.39,1.61,0.186,-0.162,9.12,0.074,-0.059,830,205.01,-160.85,0.14,0.101,-0.09
4011,6603756,K01729.01,5.204,15.63,0.14,2.6,0.059,1466,0.5,1.1E-09,0.14,0.005,1.3E-24,9.2E-15,2.6E-11,0.178,5163,51.35,-73.26,0.8,0.044,-0.032,0.85,0.036,-0.038,9.68,0.359,-0.414,783,43.24,-37.07,0.2,0.04,-0.083
4012,8460600,K01730.01,6.352,21.85,0.11,120,0.016,2942,1.35,0.004,0.099,0.0056,4.9E-17,1.7E-19,3.7E-10,0.253,5232,216.27,-182.97,0.79,0.079,-0.055,0.83,0.058,-0.056,9.68,0.364,-0.43,608,67.72,-47.87,0.36,0.22,-0.214
4013,8266276,K01731.01,2.595,2.19,0.019,2500,0.219,234,1.83,0.000048,0.0000092,0.01,0.0000066,0.000042,0.009,0.026,5024,232.63,-213.75,0.78,0.061,-0.045,0.82,0.055,-0.05,9.6,0.412,-0.383,719,65.33,-51.41,0.6,0.274,-0.285
4014,8266276,K01731.02,0.838,1.86,0.9,2.5,0.193,220,0.96,0.16,0.00043,0.62,0.0031,0.00000019,0.12,0.022,5024,232.63,-213.75,0.78,0.061,-0.045,0.82,0.055,-0.05,9.6,0.412,-0.383,719,65.33,-51.41,0.6,0.274,-0.285
4015,6869184,K01732.01,43.317,2.63,0.000062,62,0.204,245,0.72,1.6E-13,0.00000046,0.000056,5.1E-15,0.0000043,0.0000019,0.029,5419,102.51,-136.18,0.84,0.083,-0.065,0.87,0.047,-0.061,9.68,0.372,-0.472,1041,107.31,-87.2,0.25,0.092,-0.136
4016,8396405,K01733.01,19.181,2.7,0.055,6.9,0.198,297,1.44,0.0000049,0.000099,0.032,0.00068,0.0059,0.016,0.029,5485,291.19,-223.52,0.86,0.136,-0.082,0.89,0.079,-0.07,9.65,0.327,-0.416,1023,178.64,-110.38,0.47,0.252,-0.219
4017,8845574,K01734.01,1.878,3.63,0.021,250,0.106,231,0.5,0.000034,0.00018,0.017,0.0002,0.0024,0.00086,0.033,5805,218.67,-262.99,1.03,0.244,-0.138,1.01,0.1,-0.086,9.6,0.277,-0.356,1220,292.04,-179.98,0.86,0.177,-0.226
4018,4939346,K01873.01,71.312,6.6,0.00015,0.78,0.052,336,0.5,0.000094,0.000047,0.000011,2.3E-11,5.2E-11,7.8E-10,0.045,6308,148.22,-201.99,1.35,0.322,-0.192,1.24,0.116,-0.105,9.4,0.138,-0.2,2082,478.32,-313.84,0.47,0.091,-0.135
