kepid_plnt,label,RF_100trees_prob,target,vespa_fp_prob_num,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,Theta1,Firstpca,Secondpca,Thirdpca,Latent1,Latent2,Logistic_Regr_prob
10797460.01,CONFIRMED,0.0078125,0,0.0008699999999999999,0.9574271077562798,0.0010972404570444773,0.1302612464854733,0.008174959818939221,0.002,0.09463572647464807,0.0001780188794684512,0.9928153174801516,0.894,-0.7075642625495343,0.19889046536587315,-0.1867123997420444,0.7304860048704702,-0.1690651197733415,0.01801153378328484
10797460.02,CONFIRMED,0.1611111111111111,0,7.3e-05,0.9622504486493744,0.0010659007905884572,0.1295618556701031,0.006040279463377834,0.003,0.14342557861826055,0.0001083480853878252,0.9923065418404814,0.894,-0.7116930726874618,0.20144075383219354,-0.18213980603827884,0.7382531409479346,-0.16012330734249772,0.020300160520223456
10848459.01,FALSE POSITIVE,0.9791666666666666,1,1.0,0.0,0.0010781982915141557,0.161340206185567,0.019483714370059368,0.0,0.004539620541076288,0.004456855698226322,0.9870893327438052,0.0,0.5840034363615579,0.23840655721503906,0.02309591105013885,-0.38864934473191975,0.5301170674751231,0.9269164636789424
10854555.01,CONFIRMED,0.01492537313432836,0,0.00035,0.0,0.0010975655011218083,0.1309746954076851,0.007844655098894612,0.733,0.06280571203602366,0.00021735454311205813,0.9922607893269768,0.9670000000000001,-0.12088734364292884,-0.6748564675305393,0.4001224831409907,-0.3057214530089959,-0.7757268462605481,0.0012648781808449582
10872983.01,CONFIRMED,0.0,0,2e-05,0.9541738631894796,0.0011004908978177897,0.13214151827553888,0.00994358251057828,0.21039617358842694,0.05196559574713692,0.0004007820763315054,0.9925642553682308,0.98,-0.7887929409602756,0.07293370491684703,-0.02206634981083189,0.7172131773982783,-0.3561341888764701,0.003945182127285545
10872983.02,CONFIRMED,0.005555555555555557,0,1.7e-05,0.955849896725086,0.0011231085481987547,0.13075445173383318,0.008692885492176994,0.21039617358842694,0.07190133456757664,0.00022035472084758754,0.9926269247774852,0.98,-0.7902282586509187,0.07386815745179208,-0.0206041991329052,0.7178054358430704,-0.3545587019195263,0.004419062666975426
10872983.03,CONFIRMED,0.04583333333333333,0,5.400000000000001e-05,0.9549435053684001,0.001068419882187774,0.12860449859418932,0.006950765900219767,0.21039617358842694,0.2938065378066034,4.35109109922187e-05,0.992141563659432,0.98,-0.7903598541147911,0.07282863800970926,-0.005837784595715921,0.7198695638375995,-0.3921289561304187,0.02448649746657773
6721123.01,FALSE POSITIVE,1.0,1,1.0,0.0,0.0011829979194470349,0.12526241799437676,0.0292157312953062,0.0,0.05462431617943704,0.00032536094159111477,0.9921098444799016,0.0,0.5834061401962338,0.23783475529097955,0.026503351039061908,-0.4072696863777361,0.5057575614572052,0.9954125141749086
10910878.01,CONFIRMED,0.007598978288633461,0,5.3e-05,0.9555330859058532,0.0010747582416957334,0.1363730084348641,0.014304457637681638,0.063,0.020919204172769358,0.0010858226592773733,0.9925115823064647,0.992,-0.7748338872983552,0.10980730762611016,-0.16645468566122207,0.7614229654978025,-0.2716164479465252,0.007397470680041713
10910878.02,CONFIRMED,0.0018939393939393944,0,0.6,0.944400281603024,0.001095019322516047,0.13067830365510774,0.008430478564634107,0.12300000000000001,0.08448594461379716,0.00025644019194437113,0.9928395393990656,0.992,-0.7757281565018113,0.08429369555777269,-0.10668980617527604,0.7287842213845269,-0.3005037548149031,0.005666958391615196
10910878.03,CONFIRMED,0.0,0,5e-06,0.9548637106322496,0.0010985406333538024,0.13030693533270854,0.008820152852035294,0.23600000000000002,0.06837503167842073,0.000240439244021548,0.992456986870182,0.992,-0.8006571267559245,0.056976482782758624,-0.0007733898709042608,0.7179114866342553,-0.3784998915898905,0.0030096897290025062
11446443.01,CONFIRMED,0.8703703703703703,0,0.015,0.0,0.0011705108094762268,0.5705248359887536,0.098566602158297,0.0,0.0003947220313385336,0.053843948138560985,0.9416559334089468,0.28600000000000003,0.41984762105287016,0.04756018749577872,-0.07088299946093186,-0.6441473066400321,0.13551965924034318,0.011236219288334258
10666592.01,CONFIRMED,0.5,0,1.4000000000000001e-05,0.0,0.001964620577402882,0.12792877225866914,0.007117787909600814,0.21039617358842694,0.00447618440444597,0.032125994864145746,0.9641092677675464,0.867,0.01920834587888941,-0.4458518781403581,-0.06212235492145988,-0.2520404073912464,-0.3719643360614948,0.3870236601739525
6922244.01,CONFIRMED,0.8703703703703703,0,6.500000000000001e-05,0.0,0.0011293927336938252,0.2374179943767573,0.07744284449109458,0.0,0.0011961629869136287,0.01432494030000494,0.980803168073204,0.429,0.32412956408039684,-0.06407214160675294,-0.11715548689304488,-0.2408219287454029,0.14473730119406236,0.9833989298978125
10984090.02,CONFIRMED,0.006134969325153374,0,5.5e-06,0.9540568321137194,0.0011091587398799558,0.1310836457357076,0.008445238954308395,0.009000000000000001,0.06350537530768158,0.0002848585421614686,0.9925953978354064,0.953,-0.7421179286145662,0.1525426111733449,-0.20173667093469327,0.7518543408657978,-0.21344969904369115,0.009051731348335203
10984090.01,CONFIRMED,0.01562998405103668,0,6.900000000000003e-06,0.9649012813539845,0.0011058812121001991,0.13539597000937206,0.010689802210778363,0.255,0.025481008703979017,0.0008199735766013006,0.9929506526461483,0.953,-0.7869940319764539,0.0857537938457026,0.027716484645968882,0.7099236571040446,-0.3820159769748769,0.0027184040654776817
