kepid_plnt,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,Theta1
5991936.01,0.0,0.0011980041210171606,0.1284135426429241,0.014803030800013125,0.0,1.0,1.592594347943496e-05,0.9923593302447182,0.205
11709124.03,0.9258200997725288,0.0011147657502139196,0.12791011012183692,0.007907632761504906,0.03,0.057376325047958185,0.00036302983982609437,0.9923566389203944,0.967
7700561.01,0.0,0.0011082648686672946,0.12449156513589504,0.06376488339292158,0.0,0.14454503985291325,0.00038453111359738814,0.9923727868663372,0.0
9071386.01,0.0,0.0022178840876568035,0.3199390815370197,0.12739856332207172,0.0,0.010741435781052114,0.02277544092174594,0.9925977046848268,0.636
11153121.01,0.9587449708822384,0.0011082919556737393,0.12947633552014995,0.007556663495916294,0.0,0.09920685984947984,0.0001360163911710403,0.9925323439512486,0.953
5520547.01,0.0,0.0011041476436877658,0.1292900656044986,0.007517630465444289,0.565,0.18297987557598847,7.376270315880633e-05,0.9925584882446798,0.841
7445445.02,0.9580230786250012,0.0011000845927211255,0.13069001874414246,0.00853117722307869,0.76,0.07111771170331978,0.00025660686848523386,0.9926557603952402,0.985
8042789.01,0.0,0.0014968279761103439,0.12147727272727273,0.07025945484960804,0.0,0.08148205696747914,0.0003924482492883683,0.9923065802879716,0.0
10617638.01,0.0,0.0010975113271089198,0.12563144329896908,0.017561583625807724,0.0,0.22104155755417945,5.4594900959591023e-05,0.9920996943424518,0.614
9834040.01,0.0,0.001136895834478888,0.13011832239925022,0.007940105618788338,0.6779999999999999,0.09141727542502164,0.00017768552638672567,0.9926515311713028,0.792
9886224.01,0.0,0.0048071310336645435,0.18786316776007495,0.0746547708859514,0.031519206939281286,0.022113296156398884,0.01900855109824798,0.9920830850266248,0.053
10724569.01,0.0,0.0010941525383098305,0.12772188378631674,0.011040771476366978,0.0,0.33793196813916304,5.909516756288503e-05,0.9921366423806686,0.0
4473613.01,0.0,0.0011079127375835194,0.1282986176194939,0.0077439564404500295,0.132,0.208727483973,2.5009814956454385e-05,0.9922223418366366,0.26
7877818.01,0.0,0.002717368486489137,0.1203584817244611,0.17289336438481978,0.0,0.07690159474902526,0.0006454632383180102,0.992171168226994,0.0
6198999.01,0.0,0.0011346746999504578,0.12965791940018745,0.007684586873093452,0.512,0.09407599585732176,0.00015726765013103987,0.9926903631365462,0.631
5480640.01,0.9607689228304946,0.0011326431744671376,0.12925609184629802,0.00843933479843868,0.001,0.1236484301393966,0.00015576756126327518,0.9927218900786252,0.971
2309585.01,0.0,0.0012087034885626471,0.1222059512652296,0.050611736149834365,0.031519206939281286,0.011506400958064777,0.0022100559273965656,0.9922251869509218,0.1
11074835.01,0.0,0.001100436723804901,0.1289403701968135,0.007987666874405485,0.061,0.16991949450504054,7.076252542327695e-05,0.9922614813818028,0.887
3217264.01,0.9497161598675866,0.0010685011432071071,0.1382392221180881,0.013366352871715816,0.165,0.017010418695107103,0.0011966625589510966,0.9924554489705684,0.919
6871071.02,0.9550718099506508,0.0010646277012855763,0.12975515463917525,0.008238265490208944,0.067,0.20434292747061036,0.00010818140884696244,0.992200580557104,0.911
6960913.01,0.0,0.001105447819997091,0.1310543580131209,0.007618001115229444,0.024,0.07591273732508208,0.0002848585421614686,0.9927076645071992,0.981
9391208.01,0.0,0.0011182328870387864,0.1295911433926898,0.0077856135401974625,0.371,0.08727526885680674,0.00014926717616962825,0.9928268517272536,0.5660000000000001
11666881.01,0.0,0.0011418798436646335,0.1351159793814433,0.011217896152458426,0.482,0.04759036808836937,0.0006573806109896961,0.992789942136527,0.792
