kepid_plnt,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,Theta1,Latent1,Latent2,RF_100trees_prob,vespa_fp_prob_num
10662202.02,0.9549159160783014,0.0011001929407469023,0.12856677600749766,0.009157017745268477,0.619,0.5016531737071169,8.867191973897853e-06,0.9921217247544166,0.769,-0.4719703373882067,-0.7593117435854627,0.72,0.31
10662202.03,0.9548637106322282,0.0011234335922760859,0.12854978912839735,0.00813067864991636,0.067,0.3772063997882277,3.5918794555920845e-06,0.9921535977239084,0.769,-0.7064943166578769,-0.2359724355954692,0.67,0.017
11138155.01,0.0,0.0010958048457029306,0.17398078725398314,0.026342375438711586,0.705,0.003755997676819415,0.005528585855973751,0.9907729867932872,0.1,0.7332447009945362,0.42077177458202825,0.81,0.017
11818800.01,0.0,0.001126467336997844,0.13068416119962512,0.0102269819923246,0.027000000000000003,0.06008168969836882,0.0007247179334982437,0.9930698398662028,0.0,0.1637277041164313,0.6770446463368189,0.88,0.031
11918099.02,0.95276806741788,0.0011125987896983779,0.12880517806935332,0.007394594417292617,0.057999999999999996,0.3584554241077954,1.7151016054776112e-05,0.9921355274034488,0.912,-0.6874128350224921,-0.3884937898312053,0.14,0.78
3115833.01,0.0,0.0011125987896983779,0.13847000937207124,0.014993275822481715,0.021,0.015042032690842809,0.0013833402847173671,0.9926515311713028,0.042,0.15201531979669194,0.6543270940036494,0.98,0.16
3453214.01,0.0,0.0011000304187082368,0.14732895970009371,0.017987994883064917,0.0,0.007353199777503347,0.002890096214116552,0.9928683750168208,0.9990000000000001,0.24008831998151664,-0.4094683891324485,0.04,0.08900000000000001
3641726.01,0.0,0.001107262649428857,0.13109301780693533,0.009417456620854792,0.09699999999999999,0.06049215881774146,0.000335528210583742,0.9927414982986984,0.968,0.2462741775384643,-0.34208116371421177,0.0,4.4e-05
3940418.01,0.0,0.0010934753631487238,0.13235590440487344,0.010020008528225145,0.282,0.033410525782768805,0.00042111661431675987,0.9926434571983314,0.8809999999999999,0.3259707304796898,-0.2809574906817599,0.0,0.0017
4544670.01,0.0,0.0010987573294053562,0.1329850046860356,0.012064158493784238,0.13,0.0420023907587281,0.0005711255010932273,0.9926230800284512,0.135,0.2200023457907596,0.5349550093646407,0.7,0.18
5792202.03,0.9549315541584836,0.0010810695141972482,0.12904111996251172,0.00819628038180208,0.09,0.09836726392349034,0.00014101668739692255,0.9926315384763259,0.887,-0.6587627966205811,-0.37525907792553936,0.0,0.00058
6867155.01,0.0,0.0011354060491244532,0.13561855670103093,0.014370059369567359,0.0,0.00924322349534195,0.002535075182078912,0.9937653549664546,0.001,0.14498677407282468,0.6979081502292999,0.95,0.19
6526710.01,0.0,0.0011052040369390924,0.16066073102155576,0.028651556401089,0.0,0.0070724015844779685,0.0041510042457431895,0.99261615948019,0.0,0.1431147507827172,0.7011435511966502,1.0,0.63
6862328.01,0.0,0.0010966445429027034,0.13724109653233366,0.013435234690195823,0.0,0.020490077366152503,0.0013241701127110939,0.9927180453295912,0.9690000000000001,0.22872056493611834,-0.370846056664118,0.04,0.00018
11869052.01,0.0,0.001094613017419383,0.12936855670103092,0.008071965099878637,0.0,0.03135818018590557,0.0007205510199766751,0.9922749380034218,0.25,0.11592114256455227,0.467191220346694,0.55,1.0
7135852.01,0.0,0.0010959402807351522,0.13679240862230552,0.014035490536950176,0.0,0.018045920337160827,0.0010616545608522758,0.9926038562832812,0.813,0.1915446638024712,-0.19074454889445733,0.07,0.0015
7678434.02,0.9548637106322628,0.001091687620723402,0.12903573102155574,0.0079843867878112,0.184,0.16208326586247182,4.642775045731668e-05,0.9921577116053748,0.935,-0.6270961370250057,-0.4499938129182967,0.08,0.091
7380537.01,0.0,0.001091200054607405,0.1783739456419869,0.05487584872240627,0.0,0.0007717938905440432,0.014749965479204931,0.987585305369192,0.778,0.18639196268787256,-0.15862264111764013,0.06,2.4e-05
